EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,DateBirth,RemoteWork,SatisfactionLevel
Unknown,39,Yes,Travel_Frequently, Research & Development ,2,3,Life Sciences,1,Male,3,4, Healthcare Representative ,4,Unknown,6477,13547,7,No,11,3,4,3,21,4,3,18,11,5,1984,No,A
Unknown,29,No,Travel_Rarely,Unknown,8,1,Medical,2,Male,2,2, Manufacturing Director ,4,Married,6477,17689,1,No,15,3,3,1,10,2,2,10,1,2,1994,Yes,A
Unknown,40,No,Travel_Rarely,Unknown,32,4,Unknown,2,Female,3,3, Research Director ,3,Unknown,13499,13782,9,No,17,3,3,0,20,3,2,18,2,13,1983,No,A
Unknown,36,No,Travel_Rarely, Research & Development ,6,4,Life Sciences,3,Male,1,1, Laboratory Technician ,3,Divorced,6477,6865,1,No,14,3,3,1,Unknown,4,3,7,1,7,1987,Yes,A
Unknown,60,No,Travel_Rarely,Unknown,29,4,Unknown,3,Male,4,2, Sales Executive ,4,Divorced,5220,10893,0,No,18,3,2,1,12,3,3,11,1,9,1963,Yes,A
Unknown,27,No,Travel_Rarely,Unknown,14,3,Unknown,1,Male,3,1, Research Scientist ,1,Unknown,6477,14377,1,No,14,3,4,2,Unknown,3,2,9,6,8,1996,Yes,B
Unknown,29,Yes,Travel_Rarely, Research & Development ,7,3,Technical Degree,2,Female,3,1, Laboratory Technician ,3,Divorced,6477,17285,3,Yes,13,3,1,2,10,2,3,7,7,7,1994,Yes,A
Unknown,32,No,Travel_Rarely,Unknown,8,3,Unknown,3,Male,4,2, Sales Executive ,4,Married,6209,11693,1,No,15,3,3,2,Unknown,4,4,10,0,8,1991,No,A
Unknown,36,No,Travel_Rarely,Unknown,10,4,Technical Degree,4,Female,3,3, Healthcare Representative ,3,Married,7094,5747,3,No,12,3,1,0,Unknown,0,3,7,1,7,1987,Yes,A
Unknown,52,Yes,Travel_Rarely, Sales ,5,3,Unknown,2,Male,3,3, Sales Executive ,2,Single,6477,21534,9,Yes,19,3,3,0,Unknown,2,2,8,7,7,1971,Yes,B
Unknown,55,Yes,Travel_Rarely,Unknown,13,4,Unknown,1,Male,4,4, Sales Executive ,3,Unknown,6477,9277,6,No,17,3,3,0,Unknown,2,2,19,3,8,1968,Yes,A
Unknown,40,No,Non-Travel,Unknown,9,4,Other,3,Male,3,2, Laboratory Technician ,3,Unknown,6477,23099,3,No,11,3,3,2,11,2,3,8,0,7,1983,Yes,A
Unknown,31,No,Travel_Rarely,Unknown,8,2,Unknown,1,Male,3,3, Sales Executive ,4,Divorced,10793,8386,1,No,18,3,1,1,13,5,3,13,9,9,1992,Yes,A
Unknown,40,No,Travel_Rarely, Human Resources ,6,2,Unknown,3,Male,3,4, Manager ,4,Single,6477,17381,1,Yes,21,4,4,0,21,2,3,21,7,7,1983,Yes,A
Unknown,48,No,Travel_Rarely, Sales ,16,4,Life Sciences,3,Female,3,2, Sales Executive ,3,Divorced,6439,13693,8,No,14,3,3,1,18,2,3,8,7,7,1975,Yes,A
Unknown,39,No,Travel_Rarely, Research & Development ,10,5,Medical,2,Male,3,2, Manufacturing Director ,1,Unknown,6477,3835,2,No,13,3,4,3,Unknown,3,3,7,7,7,1984,No,B
Unknown,49,No,Travel_Rarely,Unknown,1,3,Unknown,3,Male,3,4, Manager ,3,Single,6477,22384,4,No,14,3,1,0,23,2,3,8,0,0,1974,Yes,A
Unknown,36,No,Travel_Rarely,Unknown,2,4,Unknown,3,Female,3,2, Sales Representative ,4,Single,4502,7439,3,No,15,3,3,0,17,2,2,13,6,7,1987,Yes,A
Unknown,31,No,Travel_Rarely,Unknown,29,4,Marketing,1,Female,2,2, Sales Executive ,4,Unknown,5468,13402,1,No,14,3,1,2,Unknown,3,3,12,5,7,1992,Yes,A
Unknown,45,No,Non-Travel,Unknown,2,4,Unknown,3,Female,3,2, Sales Executive ,3,Married,5154,19665,4,No,22,4,2,2,10,3,4,8,5,7,1978,No,A
Unknown,40,No,Travel_Rarely, Research & Development ,1,4,Unknown,1,Male,3,4, Manager ,1,Unknown,6477,18991,2,No,11,3,1,1,22,3,3,19,11,16,1983,Yes,B
Unknown,26,No,Travel_Frequently,Unknown,6,3,Other,3,Male,4,1, Laboratory Technician ,4,Married,6477,7102,0,No,18,3,1,1,8,3,3,7,7,7,1997,Yes,A
Unknown,33,No,Travel_Frequently,Unknown,7,2,Life Sciences,4,Male,3,2, Healthcare Representative ,3,Divorced,6477,18079,1,No,20,3,3,3,9,2,3,9,2,8,1990,Yes,A
Unknown,36,No,Travel_Rarely,Unknown,46,3,Unknown,3,Female,2,3, Sales Executive ,4,Married,6477,12695,0,No,19,3,3,2,10,2,3,9,3,4,1987,Yes,A
Unknown,38,No,Travel_Rarely,Unknown,10,2,Unknown,1,Female,3,2, Sales Executive ,4,Married,6477,5982,1,No,11,3,3,1,10,1,3,10,1,9,1985,Yes,A
Unknown,44,No,Travel_Rarely,Unknown,7,4,Medical,1,Female,2,3, Healthcare Representative ,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,5,17,1979,Yes,A
Unknown,33,Yes,Travel_Rarely,Unknown,15,1,Medical,2,Male,3,3, Manager ,3,Married,6477,24619,7,No,12,3,4,0,15,2,4,7,7,7,1990,Yes,A
Unknown,40,No,Travel_Rarely,Unknown,6,3,Life Sciences,2,Female,3,4, Manufacturing Director ,3,Single,6477,20364,7,No,15,3,3,0,22,3,3,20,5,13,1983,No,A
Unknown,52,No,Travel_Rarely,Unknown,3,4,Marketing,3,Male,2,4, Manager ,1,Unknown,16856,10084,1,No,11,3,1,0,Unknown,3,4,34,1,16,1971,Yes,B
Unknown,39,No,Travel_Frequently,Unknown,22,3,Medical,4,Female,3,3, Manufacturing Director ,1,Single,6477,5083,1,No,13,3,3,0,Unknown,2,3,21,2,8,1984,No,B
Unknown,44,Yes,Travel_Rarely, Human Resources ,1,2,Medical,2,Male,2,3, Human Resources ,1,Married,10482,2326,9,No,14,3,4,1,24,1,3,20,3,6,1979,Yes,B
Unknown,46,No,Travel_Rarely, Human Resources ,1,2,Life Sciences,4,Female,3,1, Human Resources ,1,Unknown,6477,22957,6,No,12,3,3,0,10,3,4,7,5,7,1977,Yes,B
Unknown,55,No,Travel_Rarely,Unknown,23,5,Marketing,3,Male,2,5, Manager ,4,Unknown,19586,23037,1,No,21,4,3,1,36,3,3,36,2,13,1968,Yes,A
Unknown,46,No,Travel_Rarely,Unknown,2,3,Unknown,3,Male,3,3, Sales Executive ,4,Unknown,6477,5596,4,No,12,3,2,1,Unknown,5,2,10,0,3,1977,No,A
Unknown,37,No,Travel_Rarely,Unknown,1,4,Unknown,1,Male,2,2, Manufacturing Director ,3,Divorced,5993,2689,1,No,18,3,3,1,Unknown,2,3,7,0,7,1986,No,A
Unknown,45,No,Travel_Rarely,Unknown,29,3,Unknown,3,Male,3,1, Research Scientist ,4,Single,3452,9752,5,No,13,3,2,0,9,2,2,6,0,3,1978,Yes,A
Unknown,37,No,Travel_Rarely,Unknown,47,3,Unknown,3,Female,3,3, Manufacturing Director ,4,Single,6477,23848,4,No,17,3,4,0,Unknown,3,4,6,1,2,1986,Yes,A
Unknown,37,No,Travel_Rarely,Unknown,1,4,Life Sciences,2,Female,3,2, Manufacturing Director ,2,Married,6477,15701,6,No,12,3,2,1,8,2,2,6,4,3,1986,No,B
Unknown,24,No,Travel_Rarely,Unknown,23,3,Medical,2,Male,4,1, Research Scientist ,4,Unknown,2725,21630,1,No,11,3,2,2,Unknown,3,3,6,1,4,1999,Yes,A
Unknown,34,No,Travel_Rarely, Sales ,25,3,Other,4,Male,3,2, Sales Executive ,4,Single,6274,18686,1,No,22,4,3,0,6,5,3,6,1,4,1989,Yes,A
Unknown,35,No,Travel_Rarely,Unknown,7,3,Other,3,Male,3,3, Manufacturing Director ,3,Single,6477,18869,3,No,21,4,2,0,17,3,4,8,1,6,1988,No,A
Unknown,34,No,Travel_Rarely,Unknown,9,1,Life Sciences,2,Female,3,2, Sales Executive ,3,Married,6477,5829,1,No,20,4,1,0,Unknown,3,2,6,1,3,1989,No,A
Unknown,28,No,Travel_Rarely,Unknown,19,4,Medical,4,Male,2,1, Laboratory Technician ,1,Married,3196,12449,1,No,12,3,3,3,6,2,3,6,3,3,1995,No,B
Unknown,44,No,Travel_Rarely,Unknown,2,1,Life Sciences,1,Female,4,1, Research Scientist ,4,Married,6477,19982,1,No,13,3,4,1,10,5,3,10,7,7,1979,No,A
Unknown,26,No,Travel_Rarely, Research & Development ,4,2,Life Sciences,3,Male,3,1, Research Scientist ,4,Unknown,6477,9973,1,Yes,20,4,2,0,Unknown,2,2,8,2,2,1997,No,A
Unknown,37,No,Travel_Rarely, Research & Development ,5,2,Unknown,3,Male,4,1, Laboratory Technician ,3,Single,6477,25470,0,No,14,3,1,0,7,2,1,6,1,3,1986,No,A
Unknown,33,No,Non-Travel,Unknown,16,3,Life Sciences,3,Female,3,2, Sales Executive ,4,Unknown,5368,16130,1,Yes,25,4,3,1,7,2,3,6,1,2,1990,No,A
Unknown,47,Yes,Travel_Rarely, Sales ,9,3,Unknown,3,Male,1,4, Sales Executive ,3,Married,12936,24164,7,No,11,3,3,0,25,3,1,23,14,10,1976,Yes,A
Unknown,41,Yes,Travel_Rarely,Unknown,1,2,Unknown,2,Female,3,2, Sales Executive ,4,Unknown,6477,19479,8,Yes,11,3,1,0,8,0,1,6,0,5,1982,No,A
Unknown,35,No,Travel_Rarely, Research & Development ,16,3,Medical,1,Male,4,1, Laboratory Technician ,2,Married,6477,16479,0,No,13,3,3,1,6,5,3,5,0,3,1988,No,B
Unknown,32,No,Travel_Rarely,Unknown,1,3,Life Sciences,2,Male,3,2, Research Scientist ,2,Unknown,6477,7346,1,No,17,3,2,2,10,3,3,10,0,9,1991,Yes,B
Unknown,35,No,Travel_Rarely,Unknown,1,3,Medical,2,Male,2,1, Research Scientist ,3,Single,6477,26278,1,No,18,3,1,0,6,3,3,6,0,4,1988,No,A
Unknown,50,No,Travel_Rarely, Research & Development ,4,1,Unknown,1,Male,3,5, Research Director ,2,Divorced,6477,15815,3,No,14,3,1,2,28,4,2,10,1,6,1973,No,B
Unknown,42,No,Travel_Frequently,Unknown,26,3,Unknown,3,Female,3,4, Sales Executive ,2,Married,13525,14864,5,No,14,3,4,1,Unknown,2,3,20,4,8,1981,Yes,B
Unknown,27,No,Travel_Rarely,Unknown,2,3,Unknown,4,Male,3,2, Sales Executive ,3,Unknown,6477,5242,1,Yes,11,3,1,0,5,3,3,5,0,4,1996,Yes,A
Unknown,40,No,Travel_Rarely,Unknown,2,2,Marketing,4,Female,3,2, Sales Executive ,2,Divorced,6477,22553,7,No,12,3,3,2,Unknown,5,3,5,1,3,1983,Yes,B
Unknown,30,No,Travel_Rarely,Unknown,12,3,Unknown,2,Female,3,2, Sales Executive ,3,Single,6477,19558,0,No,11,3,2,0,Unknown,6,3,5,4,4,1993,Yes,A
Unknown,52,No,Travel_Rarely,Unknown,32,3,Unknown,4,Male,2,3, Manufacturing Director ,3,Married,6477,19609,2,No,14,3,3,0,Unknown,4,3,5,0,4,1971,No,A
Unknown,31,No,Travel_Rarely,Unknown,7,3,Unknown,3,Male,2,3, Manager ,4,Divorced,6477,25291,9,No,21,4,3,1,10,3,2,5,0,1,1992,Yes,A
Unknown,35,No,Travel_Rarely, Sales ,1,3,Unknown,1,Female,3,2, Sales Executive ,3,Single,4859,6698,1,No,16,3,4,0,5,3,3,5,0,3,1988,Yes,A
Unknown,25,No,Travel_Rarely,Unknown,13,1,Unknown,2,Male,3,1, Sales Representative ,3,Unknown,6477,26376,1,No,11,3,3,0,7,1,3,7,0,6,1998,Yes,A
Unknown,39,No,Travel_Rarely,Unknown,2,3,Life Sciences,4,Female,2,2, Human Resources ,4,Unknown,5204,7790,8,No,11,3,3,2,13,2,3,5,0,4,1984,No,A
Unknown,30,No,Travel_Rarely,Unknown,8,2,Unknown,3,Male,3,3, Sales Executive ,3,Unknown,6477,9977,5,No,11,3,1,1,Unknown,2,4,8,7,7,1993,No,A
Unknown,54,No,Travel_Rarely,Unknown,2,4,Life Sciences,3,Female,2,3, Sales Executive ,3,Married,6477,8392,6,No,11,3,2,1,13,4,3,9,7,0,1969,Yes,A
Unknown,35,No,Travel_Rarely,Unknown,8,4,Technical Degree,3,Male,3,1, Human Resources ,3,Unknown,4323,7108,1,No,17,3,2,0,6,2,1,5,1,4,1988,Yes,A
Unknown,33,No,Travel_Rarely,Unknown,2,3,Human Resources,2,Male,3,1, Human Resources ,3,Unknown,6477,8429,1,No,13,3,4,1,5,2,3,5,1,4,1990,Yes,A
Unknown,30,No,Non-Travel,Unknown,9,2,Medical,3,Female,3,2, Manufacturing Director ,3,Single,6477,12858,7,Yes,18,3,3,0,10,3,3,8,1,7,1993,Yes,A
Unknown,40,Yes,Travel_Rarely,Unknown,25,4,Unknown,4,Male,2,3, Sales Executive ,2,Single,6477,17235,2,Yes,12,3,3,0,9,2,3,5,1,0,1983,Yes,B
Unknown,37,No,Travel_Rarely,Unknown,4,1,Unknown,3,Male,3,1, Research Scientist ,3,Married,2996,5182,7,Yes,15,3,4,0,8,2,3,6,1,3,1986,No,A
Unknown,34,No,Travel_Rarely,Unknown,1,3,Life Sciences,4,Female,2,1, Laboratory Technician ,2,Unknown,6477,3708,5,No,17,3,1,1,7,2,2,5,0,2,1989,No,B
Unknown,33,No,Travel_Rarely, Research & Development ,4,4,Medical,1,Female,2,1, Laboratory Technician ,2,Unknown,6477,8192,8,No,11,3,4,0,8,5,3,5,0,2,1990,Yes,B
Unknown,29,No,Travel_Rarely,Unknown,2,1,Life Sciences,1,Male,3,2, Healthcare Representative ,4,Unknown,8853,24483,1,No,19,3,4,1,6,0,4,6,1,3,1994,Yes,A
Unknown,39,No,Travel_Rarely,Unknown,12,3,Medical,4,Male,3,2, Manufacturing Director ,2,Unknown,6477,7693,4,No,21,4,3,0,Unknown,3,3,5,1,0,1984,Yes,B
Unknown,40,No,Travel_Rarely,Unknown,12,3,Unknown,2,Female,3,2, Healthcare Representative ,1,Unknown,4448,10748,2,No,12,3,2,1,15,3,3,7,7,7,1983,Yes,B
Unknown,41,No,Travel_Rarely,Unknown,3,3,Life Sciences,3,Male,2,2, Sales Executive ,2,Divorced,8938,12227,2,No,11,3,3,1,14,5,3,5,0,4,1982,No,B
Unknown,29,No,Travel_Rarely,Unknown,41,4,Medical,3,Female,2,1, Research Scientist ,1,Single,6477,8489,1,No,14,3,2,0,5,3,1,5,0,4,1994,Yes,B
Unknown,31,No,Non-Travel,Unknown,5,3,Medical,2,Male,3,2, Manufacturing Director ,1,Unknown,9936,3787,0,No,19,3,2,0,10,2,3,9,1,7,1992,Yes,B
Unknown,50,No,Travel_Rarely,Unknown,47,3,Unknown,1,Female,3,5, Research Director ,2,Unknown,18172,9755,3,Yes,19,3,1,0,28,1,2,8,0,7,1973,Yes,B
Unknown,37,No,Travel_Rarely,Unknown,3,3,Life Sciences,3,Male,3,3, Sales Executive ,4,Unknown,6477,14506,2,No,12,3,1,0,Unknown,3,3,5,1,3,1986,Yes,A
Unknown,57,No,Travel_Rarely, Research & Development ,24,2,Unknown,3,Male,4,3, Healthcare Representative ,4,Divorced,9439,23402,3,No,16,3,2,1,12,2,1,5,1,4,1966,Yes,A
Unknown,41,Yes,Travel_Rarely,Unknown,20,2,Marketing,2,Female,3,1, Sales Representative ,2,Unknown,6477,21728,1,Yes,22,4,4,0,4,5,2,4,0,2,1982,Yes,B
Unknown,28,No,Travel_Rarely,Unknown,8,2,Unknown,4,Female,3,1, Research Scientist ,4,Unknown,6477,4488,1,No,21,4,4,0,Unknown,3,3,5,0,2,1995,Yes,A
Unknown,40,No,Travel_Rarely,Unknown,45,2,Unknown,3,Male,1,2, Sales Executive ,4,Married,6477,13273,2,No,22,4,3,3,Unknown,2,2,4,0,2,1983,Yes,A
Unknown,30,No,Travel_Rarely, Research & Development ,37,3,Unknown,3,Male,3,1, Laboratory Technician ,4,Married,6477,16734,4,No,15,3,3,1,9,3,1,5,1,4,1993,No,A
Unknown,33,Yes,Travel_Rarely,Unknown,10,1,Unknown,1,Male,1,1, Laboratory Technician ,4,Divorced,3408,6705,7,No,13,3,1,3,8,2,3,4,1,3,1990,No,A
Unknown,39,No,Travel_Frequently,Unknown,8,1,Unknown,3,Female,3,1, Laboratory Technician ,3,Married,3755,17872,1,No,11,3,1,1,Unknown,3,3,8,0,7,1984,Yes,A
Unknown,24,Yes,Travel_Frequently, Research & Development ,7,3,Unknown,1,Female,3,1, Laboratory Technician ,3,Unknown,6477,14168,1,No,16,3,4,1,6,4,3,6,1,2,1999,Yes,A
Unknown,50,Yes,Travel_Rarely, Sales ,8,2,Technical Degree,2,Male,3,2, Sales Executive ,3,Married,6477,23452,3,No,14,3,1,1,18,4,3,4,1,3,1973,No,A
Unknown,37,No,Travel_Rarely,Unknown,10,1,Life Sciences,4,Female,3,1, Research Scientist ,1,Divorced,2782,19905,0,Yes,13,3,2,2,Unknown,3,2,5,4,3,1986,No,B
Unknown,38,No,Travel_Frequently, Research & Development ,12,3,Unknown,1,Male,2,2, Healthcare Representative ,1,Unknown,6288,4284,2,No,15,3,3,1,Unknown,3,2,4,1,2,1985,No,B
Unknown,25,No,Travel_Rarely,Unknown,2,1,Medical,1,Male,4,1, Research Scientist ,1,Single,3424,21632,7,No,13,3,3,0,Unknown,3,2,4,0,1,1998,No,B
Unknown,25,No,Travel_Rarely,Unknown,3,1,Unknown,3,Male,3,2, Sales Executive ,1,Unknown,4194,14363,1,Yes,18,3,4,0,5,3,3,5,0,3,1998,Yes,B
Unknown,33,No,Travel_Rarely,Unknown,3,2,Human Resources,4,Male,3,1, Human Resources ,2,Divorced,6477,22650,3,Yes,11,3,3,1,Unknown,4,4,4,0,3,1990,No,B
Unknown,29,No,Travel_Rarely,Unknown,7,1,Medical,1,Female,2,1, Laboratory Technician ,4,Unknown,2532,6054,6,No,14,3,3,3,8,5,3,4,0,3,1994,No,A
Unknown,37,No,Travel_Rarely,Unknown,3,3,Unknown,4,Female,3,2, Healthcare Representative ,2,Unknown,4107,13848,3,No,15,3,1,0,8,3,2,4,0,1,1986,Yes,B
Unknown,26,No,Travel_Rarely,Unknown,1,2,Medical,1,Male,2,1, Laboratory Technician ,1,Married,6477,11141,1,No,16,3,1,2,6,2,3,5,1,3,1997,Yes,B
Unknown,24,No,Travel_Rarely,Unknown,24,3,Medical,4,Male,3,1, Laboratory Technician ,2,Single,3597,6409,8,No,22,4,4,0,6,2,3,4,1,2,1999,No,B
Unknown,25,No,Travel_Rarely,Unknown,10,4,Life Sciences,3,Male,3,2, Sales Executive ,4,Single,6477,20623,0,No,14,3,2,0,5,4,3,4,1,1,1998,No,A
Unknown,38,No,Travel_Frequently,Unknown,2,3,Unknown,4,Female,2,1, Laboratory Technician ,2,Unknown,6477,23826,1,No,22,4,2,0,4,3,3,4,3,3,1985,No,B
Unknown,24,No,Travel_Rarely, Research & Development ,12,3,Medical,3,Male,4,1, Research Scientist ,3,Married,6477,17616,1,No,16,3,4,1,5,1,3,5,0,4,1999,Yes,A
Unknown,29,No,Travel_Rarely,Unknown,9,4,Medical,4,Female,3,1, Laboratory Technician ,3,Unknown,2974,25412,9,No,17,3,3,1,Unknown,2,3,5,1,2,1994,No,A
Unknown,28,No,Travel_Rarely,Unknown,1,3,Unknown,3,Male,3,1, Research Scientist ,4,Married,6477,5531,1,No,11,3,3,1,5,6,4,5,0,3,1995,Yes,A
Unknown,40,No,Travel_Rarely,Unknown,2,2,Life Sciences,3,Female,3,1, Laboratory Technician ,1,Married,3377,25605,4,No,17,3,4,1,7,5,2,4,0,2,1983,Yes,B
Unknown,37,Yes,Travel_Rarely,Unknown,10,4,Unknown,4,Male,3,2, Manufacturing Director ,1,Single,4213,4992,1,No,15,3,2,0,10,4,3,10,0,8,1986,Yes,B
Unknown,26,No,Travel_Rarely, Sales ,10,3,Unknown,3,Male,3,2, Sales Executive ,4,Unknown,6477,9125,1,No,13,3,1,0,Unknown,4,3,5,1,2,1997,No,A
Unknown,44,No,Travel_Rarely,Unknown,1,3,Medical,2,Male,3,1, Research Scientist ,4,Single,6477,13422,6,Yes,12,3,3,0,6,2,3,4,1,2,1979,Yes,A
Unknown,36,No,Travel_Rarely, Sales ,11,4,Marketing,2,Female,2,2, Sales Executive ,4,Married,6477,14369,4,No,13,3,1,1,8,2,2,6,0,0,1987,No,A
Unknown,40,No,Travel_Rarely,Unknown,2,4,Unknown,3,Female,3,1, Research Scientist ,3,Married,2001,12549,2,No,14,3,2,3,20,2,3,5,0,2,1983,Yes,A
Unknown,35,No,Travel_Rarely,Unknown,31,4,Unknown,3,Female,3,1, Laboratory Technician ,1,Unknown,6477,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,1988,No,B
Unknown,59,No,Non-Travel,Unknown,2,4,Human Resources,3,Female,2,5, Manager ,4,Unknown,18844,21922,9,No,21,4,4,1,Unknown,3,3,3,2,2,1964,No,A
Unknown,50,No,Travel_Frequently,Unknown,12,3,Unknown,3,Female,3,3, Sales Executive ,4,Single,6477,6645,4,No,11,3,4,0,16,3,3,2,2,1,1973,No,A
Unknown,25,No,Travel_Rarely, Sales ,28,3,Life Sciences,1,Male,2,2, Sales Executive ,3,Unknown,6477,24835,2,No,18,3,4,0,Unknown,3,3,2,2,2,1998,No,A
Unknown,22,No,Travel_Rarely,Unknown,36,1,Medical,3,Male,3,1, Research Scientist ,4,Married,6477,11992,1,No,24,4,1,2,2,6,3,2,2,2,2001,Yes,A
Unknown,27,No,Travel_Frequently,Unknown,1,1,Unknown,3,Male,2,2, Manufacturing Director ,1,Married,6477,9679,5,No,19,3,3,1,Unknown,1,3,2,2,0,1996,No,B
Unknown,40,No,Travel_Rarely,Unknown,38,2,Unknown,3,Male,3,2, Laboratory Technician ,4,Married,6477,16523,8,No,15,3,3,1,Unknown,2,4,7,3,7,1983,Yes,A
Unknown,22,No,Travel_Rarely,Unknown,22,3,Life Sciences,3,Male,4,1, Research Scientist ,2,Unknown,2328,12392,1,No,16,3,1,1,4,2,2,4,2,2,2001,No,B
Unknown,29,Yes,Travel_Rarely,Unknown,1,3,Unknown,3,Male,3,1, Research Scientist ,3,Single,6477,19757,0,No,14,3,4,0,Unknown,1,2,6,1,5,1994,No,A
Unknown,59,No,Travel_Rarely, Human Resources ,6,2,Medical,2,Male,3,1, Human Resources ,3,Married,6477,25657,8,No,17,3,4,0,Unknown,2,2,2,2,2,1964,No,A
Unknown,32,Yes,Travel_Rarely,Unknown,1,3,Unknown,4,Male,2,1, Laboratory Technician ,3,Single,6477,9571,0,No,14,3,4,0,4,2,1,3,1,2,1991,Yes,A
Unknown,32,No,Non-Travel,Unknown,26,4,Marketing,3,Male,3,2, Sales Executive ,4,Unknown,6477,12069,0,No,18,3,1,0,4,2,3,3,2,2,1991,Yes,A
Unknown,28,No,Travel_Rarely,Unknown,9,3,Unknown,4,Male,3,1, Research Scientist ,4,Married,6477,2613,1,No,23,4,4,1,Unknown,3,3,5,0,4,1995,Yes,A
Unknown,31,No,Travel_Frequently, Sales ,5,3,Unknown,4,Female,3,1, Sales Representative ,2,Divorced,2789,3909,1,No,11,3,3,1,2,5,2,2,2,2,1992,Yes,B
Unknown,31,No,Travel_Rarely, Research & Development ,2,4,Unknown,3,Male,3,1, Research Scientist ,4,Unknown,6477,7747,0,No,18,3,2,1,3,2,1,2,2,2,1992,Yes,A
Unknown,21,No,Travel_Rarely,Unknown,9,2,Unknown,1,Male,3,1, Sales Representative ,4,Single,6477,2851,1,No,24,4,3,0,3,3,2,3,2,2,2002,Yes,A
Unknown,31,No,Travel_Rarely,Unknown,9,4,Life Sciences,3,Male,2,1, Research Scientist ,2,Unknown,2657,7551,0,No,16,3,4,0,3,5,3,2,2,2,1992,Yes,B
Unknown,27,No,Travel_Rarely,Unknown,1,2,Unknown,4,Male,3,1, Laboratory Technician ,2,Unknown,6477,17881,1,No,11,3,2,1,5,2,3,5,0,4,1996,Yes,B
Unknown,49,No,Travel_Rarely,Unknown,7,3,Other,2,Male,2,3, Healthcare Representative ,3,Single,10965,12066,8,No,24,4,3,0,Unknown,2,3,5,0,0,1974,Yes,A
Unknown,25,Yes,Travel_Rarely,Unknown,3,3,Medical,1,Male,3,1, Laboratory Technician ,1,Married,6477,9396,5,No,13,3,3,1,6,5,3,2,0,2,1998,Yes,B
Unknown,52,No,Travel_Rarely,Unknown,4,2,Life Sciences,4,Female,3,4, Manager ,4,Married,6477,10310,2,No,13,3,4,0,31,2,1,5,1,4,1971,No,A
Unknown,26,No,Travel_Rarely,Unknown,23,3,Life Sciences,1,Female,3,1, Research Scientist ,4,Divorced,6477,3032,1,No,22,4,2,2,Unknown,3,1,3,0,2,1997,Yes,A
Unknown,29,Yes,Travel_Rarely,Unknown,25,5,Technical Degree,3,Female,2,1, Research Scientist ,2,Married,2546,18300,5,No,16,3,2,0,6,2,4,2,1,1,1994,No,B
Unknown,46,No,Travel_Rarely,Unknown,2,3,Life Sciences,1,Male,3,4, Research Director ,3,Married,17861,2288,6,No,13,3,3,0,Unknown,2,1,3,0,1,1977,No,A
Unknown,34,Yes,Travel_Frequently, Human Resources ,23,3,Unknown,2,Female,3,3, Human Resources ,1,Divorced,6477,11533,9,Yes,15,3,3,3,Unknown,2,3,3,0,2,1989,No,B
Unknown,21,No,Travel_Rarely,Unknown,22,1,Technical Degree,3,Male,3,1, Sales Representative ,3,Unknown,3447,24444,1,No,11,3,3,0,Unknown,2,3,3,1,2,2002,Yes,A
Unknown,27,No,Travel_Rarely,Unknown,3,4,Medical,1,Male,2,1, Research Scientist ,4,Single,2045,15174,0,No,13,3,4,0,5,0,3,4,1,1,1996,Yes,A
Unknown,24,Yes,Travel_Rarely,Unknown,3,2,Life Sciences,1,Female,3,2, Sales Executive ,3,Single,4577,24785,9,No,14,3,1,0,Unknown,3,3,2,2,0,1999,Yes,A
Unknown,40,No,Travel_Rarely,Unknown,2,1,Unknown,4,Female,2,1, Research Scientist ,4,Single,6477,22929,0,No,20,4,4,0,5,2,2,4,2,3,1983,No,A
Unknown,29,No,Travel_Rarely, Sales ,10,3,Unknown,4,Male,3,1, Sales Representative ,2,Unknown,2297,17967,1,No,14,3,4,2,Unknown,2,3,2,2,2,1994,No,B
Unknown,23,No,Travel_Rarely, Research & Development ,12,1,Medical,1,Male,4,1, Research Scientist ,3,Single,6477,19630,1,No,18,3,4,0,Unknown,3,3,2,0,2,2000,No,A
Unknown,55,Yes,Travel_Rarely,Unknown,2,3,Medical,4,Male,3,5, Manager ,1,Unknown,6477,21199,5,Yes,13,3,4,1,24,2,3,5,1,4,1968,No,B
Unknown,35,No,Travel_Rarely,Unknown,8,4,Unknown,1,Female,3,1, Sales Representative ,4,Unknown,2572,20317,1,No,16,3,2,1,3,1,2,3,0,2,1988,Yes,A
Unknown,34,No,Travel_Rarely,Unknown,8,2,Unknown,3,Female,3,2, Sales Executive ,1,Unknown,6500,13305,5,No,17,3,2,1,Unknown,1,3,3,1,2,1989,Yes,B
Unknown,35,No,Travel_Rarely, Research & Development ,20,4,Unknown,3,Female,4,1, Research Scientist ,3,Single,6477,13301,3,No,13,3,3,0,7,0,3,2,2,2,1988,No,A
